Feature,Importance
EXT_SOURCE_MEAN,206270.91050338745
EXT_SOURCE_WEIGHTED,187560.5942440033
ANNUITY_TO_CREDIT,73405.59175109863
CREDIT_TO_GOODS,30708.188898086548
EXT_SOURCE_1,29610.677362442017
OCCUPATION_TYPE,24062.253971099854
DAYS_EMPLOYED,23606.361373901367
EXT_SOURCE_3,22371.225658416748
AMT_ANNUITY,21786.09663581848
ORGANIZATION_TYPE,17841.342441558838
DAYS_BIRTH,17332.654403686523
AMT_GOODS_PRICE,16695.833824157715
EXT_SOURCE_2,16277.819860458374
EMPLOYMENT_YEARS,15525.03310585022
OWN_CAR_AGE,15460.80753326416
NAME_EDUCATION_TYPE,13880.068714141846
AMT_CREDIT,13112.46976852417
DAYS_ID_PUBLISH,12540.581686019897
ANNUITY_TO_INCOME,12404.40937614441
DAYS_LAST_PHONE_CHANGE,12315.768377304077
AGE_YEARS,11759.986276626587
DEBT_TO_INCOME,9986.628517150879
REGION_POPULATION_RELATIVE,8872.10171508789
INCOME_PER_PERSON,8771.568557739258
LANDAREA_MEDI,8272.626888275146
DAYS_REGISTRATION,7867.935697555542
TOTALAREA_MODE,7410.664798736572
APARTMENTS_MEDI,7340.95076751709
COMMONAREA_MEDI,7337.617092132568
NONLIVINGAREA_MEDI,6927.428291320801
AMT_REQ_CREDIT_BUREAU_YEAR,6864.990802764893
AMT_REQ_CREDIT_BUREAU_QRT,6659.8039894104
AMT_INCOME_TOTAL,6500.079719543457
YEARS_BEGINEXPLUATATION_MEDI,6368.2649974823
BASEMENTAREA_MEDI,6276.985988616943
DOCS_SUBMITTED_COUNT,6154.838203430176
ID_PUBLISH_YEARS,6108.8237018585205
LIVINGAREA_MEDI,5833.489818572998
LIVINGAPARTMENTS_MEDI,5610.338905334473
REGISTRATION_YEARS,5528.176815032959
HOUR_APPR_PROCESS_START,5021.758100509644
YEARS_BUILD_MEDI,4567.47830581665
PHONE_CHANGE_YEARS,3922.864700317383
FLAG_DOCUMENT_3,3893.1421852111816
REGION_RATING_CLIENT_W_CITY,3861.5228214263916
FLOORSMAX_MEDI,3496.0434951782227
AMT_REQ_CREDIT_BUREAU_DAY,3407.5985794067383
DEF_60_CNT_SOCIAL_CIRCLE,3280.8477878570557
DEF_30_CNT_SOCIAL_CIRCLE,3235.4040088653564
NAME_CONTRACT_TYPE,3144.0587844848633
OBS_30_CNT_SOCIAL_CIRCLE,3088.0792922973633
NONLIVINGAPARTMENTS_MEDI,3078.7146968841553
NAME_FAMILY_STATUS_Married,3057.45849609375
OBS_60_CNT_SOCIAL_CIRCLE,2988.718101501465
TOTAL_MISSING_COUNT,2979.86909866333
ENTRANCES_MEDI,2735.6066932678223
FLOORSMIN_MEDI,2356.9049911499023
FLAG_WORK_PHONE,2304.9063110351562
REG_CITY_NOT_LIVE_CITY,2135.828603744507
AMT_REQ_CREDIT_BUREAU_MON,1998.6905975341797
CONTACT_FLAGS_COUNT,1542.4944953918457
NAME_HOUSING_TYPE_House_apartment,1380.719913482666
WALLSMATERIAL_MODE_Panel,1380.6473007202148
NAME_FAMILY_STATUS_Single_not_married,1239.947410583496
ELEVATORS_MEDI,1209.4548988342285
AMT_REQ_CREDIT_BUREAU_WEEK,1098.1471824645996
FLAG_DOCUMENT_8,984.7819862365723
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,928.5912017822266
REGION_RATING_CLIENT,864.6130065917969
WEEKDAY_APPR_PROCESS_START_SATURDAY,839.2753105163574
CNT_CHILDREN,815.5803031921387
WEEKDAY_APPR_PROCESS_START_MONDAY,786.7625007629395
NAME_INCOME_TYPE_Working,734.7910041809082
NAME_INCOME_TYPE_State_servant,713.8935012817383
NAME_TYPE_SUITE_Unaccompanied,682.713493347168
FLAG_OWN_CAR,667.8434028625488
NAME_FAMILY_STATUS_Widow,610.0846939086914
CNT_FAM_MEMBERS,598.4835968017578
FLAG_OWN_REALTY,585.8418083190918
WEEKDAY_APPR_PROCESS_START_THURSDAY,571.7399024963379
WEEKDAY_APPR_PROCESS_START_TUESDAY,547.9246025085449
WALLSMATERIAL_MODE_Stone_brick,524.4820976257324
NAME_FAMILY_STATUS_Civil_marriage,429.99079513549805
NAME_HOUSING_TYPE_Municipal_apartment,397.9843940734863
REG_CITY_NOT_WORK_CITY,364.0658149719238
LIVE_CITY_NOT_WORK_CITY,325.22610092163086
FLAG_DOCUMENT_6,324.59229278564453
NAME_TYPE_SUITE_Family,322.76429748535156
NAME_INCOME_TYPE_Commercial_associate,255.0724983215332
WEEKDAY_APPR_PROCESS_START_FRIDAY,226.9477996826172
NAME_HOUSING_TYPE_With_parents,202.98530197143555
FONDKAPREMONT_MODE_not_specified,201.3031997680664
NAME_TYPE_SUITE_Spouse_partner,152.0625991821289
NAME_HOUSING_TYPE_Rented_apartment,142.3936996459961
NAME_TYPE_SUITE_Children,132.39859771728516
WEEKDAY_APPR_PROCESS_START_SUNDAY,98.46529769897461
REG_REGION_NOT_WORK_REGION,70.54319763183594
AMT_REQ_CREDIT_BUREAU_HOUR,66.99430084228516
LIVE_REGION_NOT_WORK_REGION,0.0
OWN_CAR_AGE_IS_MISSING,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_INCOME_TYPE_Unemployed,0.0
