Feature,Coefficient
AMT_GOODS_PRICE,-0.44166952546705873
EXT_SOURCE_MEAN,-0.2976391613291963
AMT_CREDIT,0.29335186971361155
OBS_30_CNT_SOCIAL_CIRCLE,0.2037845658392102
ANNUITY_TO_INCOME,0.19629718195236806
EXT_SOURCE_3,-0.19618664885059048
OBS_60_CNT_SOCIAL_CIRCLE,-0.1961824958377582
EXT_SOURCE_WEIGHTED,-0.18484541827820475
ANNUITY_TO_CREDIT,-0.1553417774250386
ORGANIZATION_TYPE,0.15068877066018713
REGION_RATING_CLIENT_W_CITY,0.14055812110148544
DEBT_TO_INCOME,-0.14055252926215317
FLAG_DOCUMENT_3,0.13594879267344254
AMT_ANNUITY,0.11527303208383222
NAME_EDUCATION_TYPE,-0.11526502059447248
OCCUPATION_TYPE,0.1040576365152402
EXT_SOURCE_2,-0.09268338401732718
CREDIT_TO_GOODS,0.09075109086291029
FLAG_WORK_PHONE,0.09037378715314424
FLAG_DOCUMENT_6,0.07410926134088137
DAYS_EMPLOYED,0.07220863192858763
DOCS_SUBMITTED_COUNT,-0.06988016992785111
NAME_CONTRACT_TYPE,0.06612075480207871
EXT_SOURCE_1,-0.06483548301975414
REGION_RATING_CLIENT,-0.06332279621254143
EMPLOYMENT_YEARS,-0.062427344780397326
AMT_INCOME_TOTAL,0.06214684028487411
NAME_INCOME_TYPE_Working,0.06163293796391611
TOTAL_MISSING_COUNT,0.05985768411869703
FLAG_OWN_CAR,-0.05663199080980146
FLAG_DOCUMENT_8,0.053487205158285894
WALLSMATERIAL_MODE_Stone_brick,0.04931289893676655
FLOORSMAX_MEDI,-0.04905158298082861
REG_CITY_NOT_LIVE_CITY,0.046546019080383104
AMT_REQ_CREDIT_BUREAU_QRT,-0.04578050708580768
DEF_60_CNT_SOCIAL_CIRCLE,0.045251660876294876
NAME_HOUSING_TYPE_Municipal_apartment,0.04425347925681976
OWN_CAR_AGE,0.04134311389657686
CONTACT_FLAGS_COUNT,-0.03995417926348934
ID_PUBLISH_YEARS,-0.03876920732633158
DEF_30_CNT_SOCIAL_CIRCLE,0.03809145723890144
DAYS_LAST_PHONE_CHANGE,0.0377514508626176
OWN_CAR_AGE_IS_MISSING,0.031995638067759555
NAME_FAMILY_STATUS_Single_not_married,0.02825628150471003
REG_CITY_NOT_WORK_CITY,-0.027901515510474695
AMT_REQ_CREDIT_BUREAU_MON,-0.02785478983780436
ENTRANCES_MEDI,-0.02755514905472423
NAME_FAMILY_STATUS_Married,-0.026561396988383137
LIVE_CITY_NOT_WORK_CITY,0.025270207466548854
NAME_FAMILY_STATUS_Civil_marriage,0.024893424727573443
WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.02436321889695734
NAME_HOUSING_TYPE_Rented_apartment,0.023833299141635705
REGION_POPULATION_RELATIVE,0.02265637203365165
NAME_HOUSING_TYPE_With_parents,0.02236376071913417
LIVINGAPARTMENTS_MEDI,0.022266025782646498
FLAG_OWN_REALTY,0.02172401429136657
WEEKDAY_APPR_PROCESS_START_MONDAY,-0.020891511276524374
NONLIVINGAPARTMENTS_MEDI,0.020214908378501942
NAME_INCOME_TYPE_Commercial_associate,0.020125902741188736
DAYS_REGISTRATION,0.02001868998794827
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.02001700265366558
REGISTRATION_YEARS,-0.019618837112537344
INCOME_PER_PERSON,0.01829792934117326
BASEMENTAREA_MEDI,0.018183556110219802
NAME_FAMILY_STATUS_Widow,-0.01788461802740203
YEARS_BUILD_MEDI,-0.017613197865956953
NAME_HOUSING_TYPE_House_apartment,0.01737162192785273
AMT_REQ_CREDIT_BUREAU_DAY,0.016720414187943212
AMT_REQ_CREDIT_BUREAU_WEEK,-0.016420567156250798
NAME_TYPE_SUITE_Unaccompanied,0.016107894138253108
YEARS_BEGINEXPLUATATION_MEDI,-0.015066237809730036
DAYS_ID_PUBLISH,0.014452451337583761
REG_REGION_NOT_WORK_REGION,-0.013317556692047695
AMT_REQ_CREDIT_BUREAU_YEAR,0.012498445658286821
NAME_INCOME_TYPE_Unemployed,0.012396953532340107
AGE_YEARS,0.012149098379903354
PHONE_CHANGE_YEARS,-0.011989591802299622
AMT_REQ_CREDIT_BUREAU_HOUR,-0.01164121004879075
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.011283181483261217
NAME_INCOME_TYPE_State_servant,0.010777829499668039
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.010399254114700399
WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.010150913095920722
LIVE_REGION_NOT_WORK_REGION,0.00960370367717598
FLOORSMIN_MEDI,0.009113680202664528
CNT_CHILDREN,0.008128549844673169
FONDKAPREMONT_MODE_not_specified,0.00808320817681778
NAME_FAMILY_STATUS_Separated,0.007018104878640645
HOUR_APPR_PROCESS_START,-0.00693726916751303
NAME_TYPE_SUITE_Family,0.006320025809877536
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.005341845318545826
LIVINGAREA_MEDI,0.004915105251296066
WALLSMATERIAL_MODE_Panel,0.004293945584797548
COMMONAREA_MEDI,0.003980333260371135
TOTALAREA_MODE,-0.003236688194939635
CNT_FAM_MEMBERS,-0.0021438402690108225
NONLIVINGAREA_MEDI,-0.0020621865279843335
NAME_TYPE_SUITE_Children,0.0019799136935334718
DAYS_BIRTH,-0.0018775059610893422
LANDAREA_MEDI,-0.0018537336723376992
NAME_TYPE_SUITE_Spouse_partner,-0.0015939382507679683
ELEVATORS_MEDI,-0.0014100130733550706
APARTMENTS_MEDI,0.0003378450992056745
