,Missing Count,Missing %,Severity,Handling Strategy
COMMONAREA_AVG,214865,69.87,High(>50%),
COMMONAREA_MODE,214865,69.87,High(>50%),
COMMONAREA_MEDI,214865,69.87,High(>50%),
NONLIVINGAPARTMENTS_MEDI,213514,69.43,High(>50%),
NONLIVINGAPARTMENTS_MODE,213514,69.43,High(>50%),
NONLIVINGAPARTMENTS_AVG,213514,69.43,High(>50%),
FONDKAPREMONT_MODE,210295,68.39,High(>50%),
LIVINGAPARTMENTS_AVG,210199,68.35,High(>50%),
LIVINGAPARTMENTS_MEDI,210199,68.35,High(>50%),
LIVINGAPARTMENTS_MODE,210199,68.35,High(>50%),
FLOORSMIN_MODE,208642,67.85,High(>50%),
FLOORSMIN_AVG,208642,67.85,High(>50%),
FLOORSMIN_MEDI,208642,67.85,High(>50%),
YEARS_BUILD_AVG,204488,66.5,High(>50%),
YEARS_BUILD_MODE,204488,66.5,High(>50%),
YEARS_BUILD_MEDI,204488,66.5,High(>50%),
OWN_CAR_AGE,202929,65.99,High(>50%),
LANDAREA_MEDI,182590,59.38,High(>50%),
LANDAREA_AVG,182590,59.38,High(>50%),
LANDAREA_MODE,182590,59.38,High(>50%),
BASEMENTAREA_MODE,179943,58.52,High(>50%),
BASEMENTAREA_MEDI,179943,58.52,High(>50%),
BASEMENTAREA_AVG,179943,58.52,High(>50%),
EXT_SOURCE_1,173378,56.38,High(>50%),
NONLIVINGAREA_MODE,169682,55.18,High(>50%),
NONLIVINGAREA_AVG,169682,55.18,High(>50%),
NONLIVINGAREA_MEDI,169682,55.18,High(>50%),
ELEVATORS_AVG,163891,53.3,High(>50%),
ELEVATORS_MEDI,163891,53.3,High(>50%),
ELEVATORS_MODE,163891,53.3,High(>50%),
WALLSMATERIAL_MODE,156341,50.84,High(>50%),
APARTMENTS_AVG,156061,50.75,High(>50%),
APARTMENTS_MEDI,156061,50.75,High(>50%),
APARTMENTS_MODE,156061,50.75,High(>50%),
ENTRANCES_MODE,154828,50.35,High(>50%),
ENTRANCES_MEDI,154828,50.35,High(>50%),
ENTRANCES_AVG,154828,50.35,High(>50%),
LIVINGAREA_AVG,154350,50.19,High(>50%),
LIVINGAREA_MEDI,154350,50.19,High(>50%),
LIVINGAREA_MODE,154350,50.19,High(>50%),
HOUSETYPE_MODE,154297,50.18,High(>50%),
FLOORSMAX_MODE,153020,49.76,Medium(10-50%),
FLOORSMAX_AVG,153020,49.76,Medium(10-50%),
FLOORSMAX_MEDI,153020,49.76,Medium(10-50%),
YEARS_BEGINEXPLUATATION_MODE,150007,48.78,Medium(10-50%),
YEARS_BEGINEXPLUATATION_MEDI,150007,48.78,Medium(10-50%),
YEARS_BEGINEXPLUATATION_AVG,150007,48.78,Medium(10-50%),
TOTALAREA_MODE,148431,48.27,Medium(10-50%),
EMERGENCYSTATE_MODE,145755,47.4,Medium(10-50%),
OCCUPATION_TYPE,96391,31.35,Medium(10-50%),
EXT_SOURCE_3,60965,19.83,Medium(10-50%),
AMT_REQ_CREDIT_BUREAU_HOUR,41519,13.5,Medium(10-50%),
AMT_REQ_CREDIT_BUREAU_WEEK,41519,13.5,Medium(10-50%),
AMT_REQ_CREDIT_BUREAU_MON,41519,13.5,Medium(10-50%),
AMT_REQ_CREDIT_BUREAU_YEAR,41519,13.5,Medium(10-50%),
AMT_REQ_CREDIT_BUREAU_DAY,41519,13.5,Medium(10-50%),
AMT_REQ_CREDIT_BUREAU_QRT,41519,13.5,Medium(10-50%),
NAME_TYPE_SUITE,1292,0.42,Low (< 10%),
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.33,Low (< 10%),
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.33,Low (< 10%),
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.33,Low (< 10%),
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.33,Low (< 10%),
EXT_SOURCE_2,660,0.21,Low (< 10%),
AMT_GOODS_PRICE,278,0.09,Low (< 10%),
AMT_ANNUITY,12,0.0,Low (< 10%),
CNT_FAM_MEMBERS,2,0.0,Low (< 10%),
DAYS_LAST_PHONE_CHANGE,1,0.0,Low (< 10%),
